main_food_group	company_name	product_name	brand_name	product_weight
Beverages	Buckwheat Healthcare Products Pte Ltd	Buckwheat Green Tea	Buckwheat	250ml
Beverages	Kaffa Kaldi Pte Ltd	China Mist Brand BIB Blackberry Jasmine Green Tea	China Mist	7.5L
Beverages	Kaffa Kaldi Pte Ltd	China Mist Brand BIB Passion Fruit Black Tea	China Mist	7.5L
Beverages	Kaffa Kaldi Pte Ltd	China Mist Brand BIB Traditional Black Tea	China Mist	7.5L
Beverages	YHS (Singapore) Pte Ltd	Chrysanthemum Tea Can (R-2015) (Malaysia)	Yeo's	300ml
Beverages	YHS (Singapore) Pte Ltd	Chrysanthemum Tea Can (R-2015) (Singapore)	Yeo's	300ml
Beverages	YHS (Singapore) Pte Ltd	Chrysanthemum Tea PET (R-2015)	Yeo's	500ml
Beverages	YHS (Singapore) Pte Ltd	Chrysanthemum Tea PET (R-2015)	Yeo's	1.5L
Beverages	YHS (Singapore) Pte Ltd	Chrysanthemum Tea TB (R-2015)	Yeo's	250ml
Beverages	F&N Foods Pte Ltd	CocoLife coconut water juice drink	Cocolife	330ml
Beverages	Field Catering & Supplies Pte Ltd	Cocomax (100% Coconut Water)	Cocomax	500ml
Beverages	Field Catering & Supplies Pte Ltd	Cocomax (100% Coconut Water)	Cocomax	350ml
Beverages	Field Catering & Supplies Pte Ltd	Cocomax 100% Coconut Water	Cocomax	500ml
Beverages	Field Catering & Supplies Pte Ltd	Cocomax 100% Coconut Water	Cocomax	500ml
Beverages	Coffeehock (2006) Pte Ltd	Coffee Hock 2898 Coffee Mixture	Coffeehock	500g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 100% Natural Chrysanthemum Teabag with Brown Raw Sugar	Coffeehock	100g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 100% Pure and Natural Ginger Powder Drink with Less Sugar	Coffeehock	10 x 12g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 100% Pure and Natural Ginger Powder Drink with Less Sugar	Coffeehock	200g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 2in1 Coffee O Bag with Brown Raw Sugar	Coffeehock	432g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 2in1 Coffee O Bag with Brown Raw Sugar	Coffeehock	24 x 18 g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 2in1 Teh-O Less Sugar Ceylon Tea Bag	Coffeehock	50 x 12g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock 2in1 Teh-O Less Sugar Ceylon Tea Bag	Coffeehock	10 x 12g
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock Coffee Mixture Bags	Coffeehock	10g x 10 sachets
Beverages	Coffeehock (2006) Pte Ltd	Coffeehock Coffee Mixture Bags	Coffeehock	24 x 18g
Beverages	Seven Stars Bird'S Nest	Concentrated Bird's Nest (Seven Stars Bird's Nest)	Seven Stars Bird's Nest	110ml
Beverages	Seven Stars Bird'S Nest	Concentrated Bird's Nest (Seven Stars Bird's Nest)	Seven Stars Bird's Nest	300ml
Beverages	DJ & A Pte Ltd	DJ&A Stripped Delicious Coconut Water Drink	DJ&A	310ml
Beverages	DJ & A Pte Ltd	DJ&A Stripped Delicious Coconut Water Drink with Young Coconut Strips	DJ&A	300ml
Beverages	DJ & A Pte Ltd	DJ&A Stripped Pink Coconut Water Drink with Rose Flavour	DJ&A	310ml
Beverages	DJ & A Pte Ltd	DJ&A Stripped Pink Coconut Water Drink with Rose Flavour and Coconut Strips	DJ&A	300ml
Beverages	DJ & A Pte Ltd	DJ&A Stripped Premium Coconut Water	DJ&A	1L
Beverages	DJ & A Pte Ltd	DJ&A Stripped Premium Coconut Water	DJ&A	500ml
Beverages	DJ & A Pte Ltd	DJ&A Stripped Pure Premium Coconut Water	DJ&A	1L
Beverages	DJ & A Pte Ltd	DJ&A Stripped Pure Premium Coconut Water	DJ&A	500ml
